nd ,Gender,Country,Age,Income,Marital-Stat5,workclass,credit-score,Learning,Tenure,Balance,Products,Education,Occupation,Target
3727,1,0,26,190000,0,0,155260,4,4,107416,3,1,0,0
3728,0,0,27,170000,0,0,164646,4,4,107200,3,1,0,0
3729,0,0,27,120000,0,0,110686,4,4,107000,3,1,0,0
3730,0,0,23,100000,0,2,11876,4,3,100380,3,1,2,0
3731,1,0,32,500000,0,2,10339,3,3,106405,2,1,2,0
3732,1,0,25,20000,0,0,13429,4,4,101300,3,1,0,0
3733,0,0,24,10000,0,0,7199,4,4,101350,3,1,0,1
3734,1,2,32,50000,0,1,45997,5,6,102064,5,0,1,1
3735,0,2,25,140000,0,2,30077,3,3,102809,2,2,2,0
3736,0,0,52,30000,1,1,18499,6,6,102500,5,0,1,1
3737,0,2,33,290000,0,2,413,-1,3,100486,2,2,2,1
3738,0,0,26,90000,0,1,86335,5,6,104500,5,0,1,0
3739,0,0,36,100000,1,4,0,5,3,100000,3,1,0,0
3740,1,1,54,140000,1,2,1045,3,3,101952,2,2,2,0
3741,1,0,23,10000,0,0,17834,4,3,101033,2,1,0,0
3742,1,2,27,220000,0,0,34686,4,3,100008,2,2,2,0
3743,0,0,42,300000,1,0,281000,4,4,115000,3,1,0,0
3744,0,2,25,100000,0,1,100000,6,2,100000,1,3,3,0
3745,1,1,44,50000,0,0,40151,4,4,102000,3,1,3,0
3746,1,2,35,50000,0,1,39437,7,4,100000,3,1,0,0
3747,1,0,49,60000,0,0,81411,4,4,138709,3,1,0,0
3748,0,0,59,330000,0,0,130797,4,4,120000,3,1,0,0
3749,1,0,47,110000,0,1,53016,-1,6,105000,5,0,1,1
3750,0,0,27,140000,1,0,126771,-1,4,110000,3,1,0,0
3751,1,2,53,500000,1,4,13331,2,2,113941,1,3,3,0
3752,0,0,35,30000,1,0,22206,4,4,102000,3,1,1,0
3753,0,2,36,220000,1,0,210475,4,4,109639,3,1,0,0
3754,0,0,37,40000,1,0,5366,4,4,101273,3,0,0,0
3755,0,0,23,60000,0,0,56250,-1,4,102000,3,1,0,0
3756,0,0,28,150000,0,0,22943,-1,4,101335,-1,1,0,0
3757,1,0,41,60000,1,0,27130,4,6,106300,2,2,2,1
3758,1,1,29,20000,1,0,14171,4,4,102000,3,3,3,0
3759,0,0,32,80000,1,2,199,3,3,100199,2,2,2,1
3760,0,0,42,340000,1,0,226644,4,4,108000,3,1,0,0
3761,1,1,35,50000,1,0,50500,-1,4,102000,3,1,0,1
3762,1,0,38,120000,0,2,500,3,2,100000,2,0,1,0
3763,0,2,25,100000,0,2,9424,3,3,101259,-1,2,2,0
3764,0,0,43,170000,0,2,0,5,3,101010,2,2,2,0
3765,1,2,28,20000,0,0,16196,4,4,101600,3,1,0,0
3766,1,2,29,80000,0,0,78038,4,4,103000,3,1,0,0
3767,0,0,26,360000,1,0,358897,4,4,114245,3,1,0,1
3768,0,1,29,150000,1,0,118025,-1,4,104278,3,1,0,0
3769,1,1,50,70000,1,1,41087,6,6,102000,5,0,1,1
3770,0,0,29,80000,1,0,80100,6,4,103500,3,1,0,0
3771,1,2,27,100000,0,0,70204,4,4,104000,3,1,0,0
3772,0,2,38,80000,1,2,2226,3,3,106259,2,2,2,0
3773,0,2,32,360000,1,4,-16,2,2,103210,1,2,0,0
3774,0,0,33,80000,0,0,69937,4,4,103032,3,1,0,0
3775,0,2,37,80000,0,2,6734,3,3,101990,2,2,2,1
3776,1,0,47,30000,0,0,29596,4,4,101600,3,1,0,0
3777,0,2,40,180000,1,0,4236,3,4,103016,3,2,0,0
3778,0,1,44,200000,1,0,34760,4,4,104000,-1,1,0,0
3779,0,0,27,160000,0,0,100613,4,4,103600,3,1,0,0
3780,0,0,36,140000,1,0,74500,4,4,103508,3,1,0,0
3781,0,2,43,610000,0,0,403546,4,6,125002,3,1,0,0
3782,1,1,39,140000,1,0,138317,4,4,106047,3,1,0,0
3783,1,1,32,150000,0,0,148352,4,4,105210,3,1,0,0
3784,1,0,27,50000,0,1,43063,6,4,100000,3,1,0,1
3785,0,1,42,180000,0,0,102826,4,4,105011,3,1,0,0
3786,1,1,29,200000,0,0,41151,4,3,101650,2,2,2,0
3787,1,2,27,500000,0,0,252881,4,4,130032,3,1,0,0
3788,1,2,35,230000,1,4,392,2,2,104114,1,3,3,0
3789,1,0,25,60000,0,1,60323,6,6,102000,3,1,0,0
3790,0,0,30,50000,0,0,35758,4,4,103000,-1,1,0,0
3791,0,0,38,10000,2,0,3213,4,4,101000,2,1,0,0
3792,1,0,33,50000,0,0,23142,4,4,105494,3,1,0,0
3794,0,0,24,20000,0,2,396,3,3,101301,5,1,0,0
3795,0,0,28,240000,1,2,1444,3,3,102553,2,3,3,0
3796,0,0,34,30000,0,1,16935,5,6,101500,3,1,0,0
3797,1,0,40,200000,1,0,154090,4,7,121000,5,0,1,1
3798,1,2,25,20000,0,1,17147,5,6,103000,3,1,0,1
3799,0,2,28,200000,0,2,466,2,4,261844,3,1,0,0
3800,0,0,34,20000,1,0,5185,4,4,102000,3,1,2,0
3801,1,2,56,50000,0,1,52108,-1,4,100052,3,1,0,0
3802,1,0,34,170000,1,0,35923,4,4,102000,3,1,0,0
3803,0,2,31,240000,0,0,65220,4,4,104000,3,1,1,0
3804,0,0,26,140000,0,0,4113,4,3,102000,2,1,0,0
3805,0,0,40,250000,1,2,4843,3,3,102942,2,2,2,0
3806,0,2,29,320000,1,0,95322,4,4,105000,3,2,2,0
3807,1,0,66,160000,1,1,67771,6,6,103400,5,0,1,1
3808,1,2,37,300000,3,2,298,3,3,100752,2,1,0,0
3809,0,0,34,240000,1,0,7806,4,4,102481,3,1,0,0
3810,0,0,44,90000,1,2,390,3,3,100390,2,2,2,1
3811,0,0,46,20000,0,8,21075,12,10,100000,8,6,4,0
3812,0,0,23,150000,0,0,115206,4,4,106000,3,1,0,0
3813,1,2,33,320000,1,4,1877,2,2,104114,1,3,3,0
3814,0,2,35,220000,1,4,0,5,2,100000,1,3,3,0
3815,0,0,40,50000,1,0,48050,4,4,102000,3,1,0,0
3816,1,0,49,280000,1,2,390,3,3,100390,-1,2,2,0
3817,0,2,28,240000,0,0,203850,4,4,107500,3,1,0,0
3818,0,0,31,390000,0,1,20852,5,4,100000,3,2,2,0
3819,1,0,29,260000,0,1,8832,3,6,100015,1,2,1,1
3820,1,1,47,470000,1,0,163529,4,4,104700,3,1,0,0
3821,1,0,31,260000,0,0,62446,4,4,102000,3,1,0,0
3822,1,0,39,100000,0,2,4530,3,3,104921,2,1,0,0
3823,0,0,25,10000,0,1,8599,5,6,101400,5,1,0,1
3824,0,0,32,20000,0,0,129106,4,4,104420,-1,1,0,0
3825,0,0,26,30000,0,0,22364,6,4,101753,5,1,0,1
3826,0,0,28,120000,1,4,0,5,2,100000,1,3,3,0
3827,0,2,34,50000,1,0,42980,4,4,101731,3,1,0,0
3828,1,3,34,150000,1,0,92000,4,4,102000,3,1,0,0
3829,0,1,46,60000,1,3,44030,-1,7,101500,6,0,1,1
3830,0,2,33,380000,0,0,89842,4,4,108000,3,1,0,0
3831,1,1,36,10000,0,0,6470,4,4,101200,3,0,0,1
3832,1,0,31,20000,1,0,18764,4,4,101610,-1,1,0,0
3833,0,0,34,100000,0,0,22173,-1,4,101372,3,1,0,0
3834,0,2,36,160000,1,4,25386,2,2,102549,1,3,2,0
3835,0,0,43,80000,1,1,24621,5,4,100000,-1,0,0,0
3836,0,2,23,90000,0,0,22109,4,4,106000,3,1,0,0
3837,0,0,44,240000,1,0,220439,4,4,109657,5,1,0,0
3838,1,1,46,200000,0,2,396,3,3,100396,2,2,2,0
3839,1,0,35,210000,1,2,396,3,6,101188,3,2,2,0
3840,0,2,29,500000,0,0,36051,4,4,102065,3,1,0,0
3841,0,2,37,400000,1,0,10677,3,3,131008,3,1,0,0
3842,0,2,34,210000,1,0,73329,4,4,102700,-1,1,0,0
3843,0,3,46,320000,1,4,17849,2,2,105149,1,3,3,0
3844,1,2,28,110000,0,0,107800,-1,4,104000,3,1,0,0
3845,0,1,35,30000,1,1,27160,6,6,100000,5,0,1,1
3846,1,2,29,100000,0,1,74396,-1,6,102700,5,0,1,1
3847,0,0,40,10000,0,4,-4,2,2,100000,2,2,2,1
3848,0,0,38,80000,1,2,4404,3,3,105096,3,1,2,0
3849,0,2,30,100000,0,1,105033,5,4,100000,3,1,0,0
3850,0,0,31,490000,1,0,245566,4,4,110095,3,1,0,0
3851,1,0,53,60000,0,0,56765,-1,4,103000,3,1,0,0
3852,0,2,32,300000,0,4,-3,2,2,100000,-1,3,3,0
3853,1,1,27,180000,0,0,172511,4,4,108008,3,1,0,0
3854,1,0,27,30000,0,1,1650,7,6,100000,7,6,5,1
3855,1,0,26,70000,1,0,66866,4,4,102000,3,1,0,1
3856,1,0,35,50000,0,0,18510,4,4,101500,3,1,0,0
3857,0,2,32,260000,0,0,8161,4,4,102000,3,2,2,0
3858,0,1,37,360000,0,2,646,3,3,100000,2,2,2,0
3859,0,0,26,70000,1,0,41659,4,4,101687,3,1,0,0
3860,1,0,22,50000,0,1,50043,5,4,101000,3,1,0,0
3861,1,0,42,110000,0,0,80338,4,4,105000,3,1,0,0
3862,1,2,29,180000,0,2,1124,3,3,118213,2,2,2,0
3863,1,2,29,70000,0,0,63603,4,4,107666,3,1,0,0
3864,0,0,34,210000,0,2,0,5,3,101075,2,2,3,1
3865,0,1,24,50000,1,2,18965,3,6,103000,3,2,2,0
3866,0,2,29,100000,0,4,0,2,2,100000,1,3,3,1
3867,0,2,26,140000,0,0,136170,4,4,106799,3,1,0,0
3868,0,0,32,150000,0,0,9545,4,4,105000,-1,0,1,1
3869,1,0,34,50000,1,0,37699,4,4,102000,3,1,0,0
3870,0,2,66,230000,1,4,0,5,2,100000,1,3,3,1
3871,0,3,37,300000,0,4,-1244,2,3,106425,-1,1,0,0
3872,0,2,31,180000,0,2,4582,3,3,101359,2,1,0,1
3873,1,2,42,210000,1,2,2827,3,3,103527,2,2,2,0
3874,0,2,23,30000,0,0,14294,-1,4,101300,3,1,0,0
3875,0,4,28,160000,1,2,819,3,3,100162,2,2,2,0
3876,0,2,27,170000,0,4,0,5,2,100000,1,3,3,0
3877,0,2,32,180000,0,2,326,6,3,102241,2,2,2,0
3878,0,1,35,50000,1,0,49930,4,4,102300,3,1,0,0
3879,1,2,60,100000,1,0,4814,4,7,103591,5,1,0,1
3880,0,0,32,50000,0,0,12513,4,4,101600,3,1,0,0
3881,0,1,34,80000,0,4,585,2,2,100395,-1,3,3,0
3882,0,0,39,70000,1,0,54801,4,4,105336,3,1,3,0
3883,0,0,44,50000,2,0,42941,4,4,101800,3,1,0,0
3884,0,0,44,360000,1,4,0,2,2,100000,1,3,3,0
3885,0,2,30,80000,0,0,48006,4,4,102100,3,1,0,0
3886,0,0,30,340000,1,0,338624,4,4,115000,3,1,0,1
3887,0,2,28,310000,0,0,37085,4,4,103817,2,2,2,0
3888,0,0,25,30000,0,0,8935,4,4,101165,3,1,0,0
3889,1,2,34,450000,0,0,260733,4,4,120255,3,1,0,0
3890,1,2,33,200000,0,2,-5,5,3,103470,3,2,2,0
3891,0,0,49,280000,0,0,278569,4,4,111005,3,1,0,0
3892,0,2,34,20000,1,0,14676,4,4,101286,3,1,0,1
3893,0,0,38,240000,1,0,56331,4,4,103004,1,3,3,0
3894,0,2,42,320000,1,0,304057,4,6,120000,-1,1,0,1
3895,0,0,46,500000,1,2,886,3,3,121831,3,1,0,0
3896,0,1,54,80000,1,0,68519,4,4,102500,-1,2,2,0
3897,1,0,62,20000,1,1,17539,5,6,101612,3,1,0,0
3898,1,0,40,50000,0,0,11058,6,4,102000,5,1,0,1
3899,0,0,25,250000,0,2,5211,3,3,105211,2,2,2,0
3900,1,0,33,20000,0,0,18330,4,4,101291,3,1,0,0
3901,1,2,46,320000,1,4,2790,2,2,103349,1,3,3,0
3902,0,1,40,200000,1,0,44600,4,4,103000,5,1,0,0
3903,0,2,28,210000,0,2,7457,-1,3,101512,-1,2,2,0
3904,1,2,40,210000,0,2,325,3,3,100325,2,2,2,1
3905,1,0,32,200000,1,0,74150,4,4,103000,3,1,0,0
3906,0,1,26,60000,0,1,4837,3,3,100000,2,1,0,0
3907,0,0,49,180000,1,2,106,2,3,103166,1,3,2,0
3908,0,0,29,30000,1,1,26414,-1,4,101500,3,1,0,0
3909,1,1,33,360000,0,0,32290,4,4,102000,3,1,0,0
3910,0,0,31,50000,2,1,39193,6,7,104600,-1,0,1,1
3911,0,2,32,220000,1,1,202792,5,6,100000,-1,0,1,0
3912,0,2,36,210000,1,0,15991,4,2,100000,-1,3,3,0
3913,1,0,54,50000,1,1,48580,6,4,100000,3,1,0,0
3914,0,0,37,80000,1,1,80508,6,6,103100,3,1,0,1
3915,1,0,38,250000,1,0,67788,6,4,105080,3,2,2,1
3916,0,0,29,20000,1,0,13958,4,4,101600,3,1,0,0
3917,0,0,36,200000,0,0,131694,4,4,104269,3,1,0,0
3918,0,0,30,80000,1,0,5123,4,4,103000,3,1,0,0
3919,1,2,28,50000,0,0,28639,4,4,102100,3,1,0,0
3920,0,0,22,30000,0,1,200,6,6,100000,2,2,1,0
3921,1,0,38,270000,1,4,0,-1,2,100000,1,3,3,0
3922,0,0,22,20000,0,0,4400,-1,6,104500,5,0,1,1
3923,0,0,60,180000,1,1,178854,6,6,102600,3,1,0,1
3924,0,2,31,500000,0,0,67475,4,4,106000,-1,1,0,0
3925,0,0,44,400000,0,2,4988,3,3,103003,2,2,2,0
3926,1,2,37,50000,2,0,45553,4,6,106324,3,1,0,0
3927,1,2,37,360000,0,2,-2,5,3,100515,2,2,2,0
3928,1,2,48,210000,0,4,0,2,2,100570,1,3,3,0
3929,1,0,28,260000,1,0,226244,4,4,108304,3,1,0,0
3930,1,2,34,450000,0,2,12712,3,3,101830,2,2,2,0
3931,0,0,28,360000,1,4,0,-1,2,100000,1,3,3,0
3932,0,2,33,110000,2,0,165090,4,4,104259,3,1,0,0
3933,1,2,34,460000,0,0,45358,4,4,102613,3,1,0,0
3934,0,0,25,400000,0,0,393159,4,4,102522,3,1,0,0
3935,0,2,49,200000,1,2,950,-1,3,100950,2,2,2,0
3936,0,0,31,50000,1,1,23781,5,6,101800,5,1,0,0
3937,1,2,35,120000,1,1,114127,5,6,107000,5,0,1,1
3938,1,2,37,330000,1,4,18807,2,2,102087,2,2,2,1
3939,0,0,28,230000,0,2,7539,3,3,106500,2,2,2,0
3940,0,1,45,50000,1,0,20080,4,4,101317,3,1,0,0
3941,0,0,27,400000,0,2,20030,3,3,103513,3,2,2,0
3942,1,0,37,310000,1,4,1619,2,2,101443,1,3,3,0
3943,0,0,27,70000,1,0,76062,6,4,103000,-1,1,0,1
3944,0,0,41,100000,0,2,1023,3,2,100000,-1,1,0,0
3945,1,0,38,50000,1,0,32669,4,6,103800,-1,1,1,0
3946,0,0,31,10000,0,0,10503,4,4,101140,2,2,2,0
3947,1,0,24,110000,0,0,74349,4,4,103101,3,1,0,0
3948,1,0,38,20000,1,0,5705,4,4,101266,3,1,1,1
3949,1,2,43,230000,0,0,1156,3,4,110000,3,1,0,0
3950,1,0,51,60000,0,0,27293,-1,4,101450,3,1,0,0
3951,0,0,32,90000,1,0,88729,4,4,103500,3,1,0,0
3952,0,0,37,130000,1,4,0,5,3,100000,2,2,2,0
3953,1,0,22,50000,0,1,19875,3,6,100000,5,1,0,1
3954,1,0,35,50000,1,0,5219,4,6,102500,5,1,0,1
3955,0,1,29,70000,0,2,20064,4,3,124336,5,1,0,0
3956,0,0,40,260000,1,2,0,5,3,100342,1,3,3,0
3957,0,0,37,150000,1,0,119398,4,4,103459,3,1,0,0
3958,0,0,24,20000,1,1,19242,5,7,103200,5,1,0,1
3959,0,0,41,270000,1,1,832,3,3,100000,3,2,2,0
3960,1,2,24,120000,0,2,1330,-1,4,102103,3,3,2,1
3961,0,2,36,500000,0,4,0,5,2,100000,1,3,3,1
3962,1,2,33,200000,0,2,3557,3,2,100000,2,2,3,0
3963,0,2,26,240000,0,2,-11,5,3,103930,1,2,2,0
3964,0,1,46,30000,1,1,12289,-1,6,100000,5,0,1,0
3965,1,1,27,20000,0,0,36908,4,2,100000,1,3,3,0
3966,0,0,27,90000,1,0,73849,4,4,102900,-1,1,0,0
3967,0,2,31,360000,1,4,-5,2,2,100000,2,1,2,0
3968,0,0,35,90000,0,1,89282,6,6,106201,5,0,1,0
3969,1,0,35,300000,0,0,276536,4,4,126531,3,1,0,0
3970,0,0,42,100000,1,4,0,5,2,100000,2,2,2,0
3971,0,2,35,450000,0,2,7256,3,3,100816,2,2,2,0
3972,1,4,28,80000,0,1,87377,5,4,100062,3,1,0,0
3973,1,0,28,180000,0,0,139097,4,4,105699,3,1,0,0
3974,0,2,24,140000,0,0,25118,4,4,102000,3,1,0,0
3975,0,0,23,60000,0,0,63709,4,4,102351,3,1,0,1
3976,0,0,28,180000,0,2,416,3,3,100416,2,2,2,1
3977,1,0,23,30000,0,0,19321,4,6,105320,5,0,2,1
3978,1,0,32,50000,0,0,49292,4,4,102661,3,1,0,0
3979,0,2,31,360000,1,2,-1,5,3,100181,3,2,2,0
3980,1,0,43,80000,1,1,77871,5,4,101261,3,1,0,0
3981,0,1,28,150000,1,0,3558,-1,4,102000,3,1,3,0
3982,1,0,35,340000,1,4,-6,5,2,100000,-1,3,3,0
3983,1,0,24,20000,0,0,5212,4,4,101500,3,6,4,1
3984,1,2,22,20000,0,0,23538,4,4,103000,3,1,0,0
3985,0,0,29,50000,1,0,49895,4,4,101867,3,1,0,1
3986,0,2,21,20000,0,0,17471,4,4,101400,3,1,2,0
3987,0,0,34,80000,0,0,25935,4,4,102000,5,0,1,0
3988,0,0,42,240000,1,1,15100,5,4,100000,-1,2,2,0
3989,0,0,27,50000,0,1,19410,6,6,103000,5,1,0,1
3990,1,2,30,400000,0,0,162540,4,4,110000,3,1,0,0
3991,1,1,64,30000,1,1,13594,6,6,101000,3,1,0,1
3992,1,2,33,300000,0,2,34339,-1,3,100962,2,2,2,0
3993,1,4,46,310000,1,2,15431,3,3,110414,2,2,2,0
3994,0,2,36,250000,0,4,2200,2,2,100000,2,2,2,0
3995,1,2,44,70000,1,1,14960,5,6,100000,5,1,0,1
3996,0,1,38,280000,0,2,6491,-1,3,104041,2,1,0,0
3997,1,2,44,490000,0,2,2920,3,3,104060,2,2,2,0
3998,0,2,50,320000,1,2,885,3,3,102116,2,3,3,0
3999,1,1,40,50000,0,0,55397,4,4,102000,3,0,1,0
4000,1,0,48,270000,1,1,53624,6,6,115018,3,1,0,1
4001,1,1,57,20000,2,1,20442,5,4,101200,3,1,0,0
4002,1,0,33,360000,0,0,60219,4,3,122694,2,1,0,0
4003,0,0,31,30000,0,1,27254,5,4,100000,3,0,4,1
4004,1,2,35,140000,0,0,10339,4,4,110006,3,1,0,0
4005,0,2,36,280000,1,0,58983,4,4,102755,3,1,0,0
4006,0,0,41,20000,0,0,13723,4,4,101500,-1,1,0,0
4007,0,0,36,320000,0,4,29862,-1,2,105000,1,3,3,1
4008,0,2,46,340000,1,0,94915,4,4,103224,3,1,0,0
4009,1,2,42,130000,0,2,836,-1,3,100836,2,2,2,0
4010,0,0,30,500000,1,4,344,2,2,105757,1,3,3,0
4011,1,4,27,150000,2,2,3462,-1,4,101147,-1,3,3,0
4012,0,1,46,210000,0,1,5816,5,4,100013,3,2,2,1
4013,0,0,29,360000,0,0,58653,4,4,105886,3,1,0,0
4014,0,2,43,250000,1,2,17454,3,3,124890,3,1,2,0
4015,1,1,24,10000,0,2,9285,4,3,100273,3,1,0,0
4016,1,0,26,160000,0,4,3720,2,2,100396,1,3,3,0
4017,0,1,34,200000,1,0,198482,4,4,105014,3,1,0,0
4018,1,0,34,160000,0,1,73820,6,6,100000,5,0,1,1
4019,1,2,39,250000,1,2,1852,3,2,100000,2,2,2,0
4020,1,2,29,240000,0,2,13980,4,3,109969,2,2,2,0
4021,0,0,47,80000,1,0,80019,6,4,103111,3,1,0,1
4022,0,0,31,20000,0,0,5526,4,3,101032,2,2,3,0
4023,0,2,28,320000,0,2,11684,3,2,101135,2,2,3,0
4024,0,2,29,50000,0,2,2459,3,3,102471,3,2,2,1
4025,0,0,25,120000,0,4,0,5,2,100000,1,3,3,1
4026,0,2,53,370000,1,2,21160,3,3,108162,2,2,0,0
4027,0,0,28,110000,1,0,41799,4,4,102027,3,1,0,0
4028,0,0,28,360000,0,1,2500,7,6,100000,1,3,3,1
4029,1,0,24,60000,0,0,47757,4,4,101468,3,1,0,0
4030,0,2,35,400000,1,4,10043,2,2,118057,1,3,2,0
4031,1,2,38,170000,1,2,2430,3,3,102430,-1,2,2,0
4032,0,0,52,20000,0,0,18652,4,4,101300,3,1,0,0
4033,1,0,34,520000,1,2,10000,3,3,110000,2,2,2,0
4034,0,2,52,360000,1,4,6658,2,2,102610,1,3,3,0
4035,1,0,29,20000,0,0,13229,4,4,101233,3,1,0,1
4036,1,2,34,340000,1,2,332,-1,3,100332,2,0,0,1
4037,1,0,40,100000,0,0,86208,-1,4,103595,3,1,0,0
4038,0,2,29,110000,0,0,48123,4,4,102500,3,1,0,0
4039,0,0,24,120000,0,0,69725,4,4,103008,3,1,0,0
4040,0,0,24,20000,0,0,2004,4,4,101211,3,1,0,1
4041,0,0,37,290000,1,0,1428,3,4,101500,3,1,0,1
4042,0,0,49,50000,1,2,12515,3,3,109115,2,2,2,1
4043,0,0,41,50000,1,0,10400,4,3,100000,3,1,0,0
4044,0,1,37,50000,0,3,52626,-1,6,100000,3,1,0,1
4045,0,0,32,200000,1,4,899,2,2,100000,1,3,3,0
4046,1,1,42,400000,1,0,95014,-1,4,105000,3,1,0,1
4047,0,0,40,60000,1,1,42922,6,6,103700,5,1,0,1
4048,0,0,48,50000,0,0,50099,4,4,101291,3,1,0,0
4049,0,2,28,90000,0,3,88627,6,6,100000,3,1,1,1
4050,0,0,46,60000,1,0,21148,4,4,103000,3,1,0,0
4051,0,2,22,50000,0,0,49086,4,4,102047,3,1,0,0
4052,0,2,29,360000,0,4,0,5,3,100000,3,1,2,0
4053,0,0,32,150000,0,0,32428,4,4,102000,3,1,0,0
4054,0,1,31,50000,1,0,50734,4,4,101700,3,1,0,0
4055,1,2,27,50000,0,0,35215,4,4,101600,5,0,0,0
4056,1,0,51,50000,1,0,49613,4,4,103036,-1,1,0,0
4057,0,1,42,30000,0,0,26012,4,4,102000,3,1,0,1
4058,1,0,37,20000,0,2,830,-1,4,117597,3,1,0,0
4059,0,0,44,100000,0,1,105373,6,6,105700,5,0,1,1
4060,1,1,39,230000,1,0,53672,4,4,125000,3,2,2,0
4061,1,2,40,310000,1,4,-150,2,2,100000,1,3,3,0
4062,0,0,50,240000,1,4,664,2,2,101086,1,3,3,0
4063,1,0,50,90000,1,0,85241,4,4,103600,-1,1,0,0
4064,0,0,21,20000,0,0,19382,4,4,101318,3,1,0,0
4065,0,0,38,150000,1,4,6829,2,2,106719,1,3,3,0
4066,0,0,32,150000,1,4,0,2,2,100000,-1,3,3,0
4067,1,2,32,180000,0,0,85040,4,4,102937,3,1,0,0
4068,0,0,33,300000,1,2,1326,3,3,100000,2,3,2,0
4069,0,2,29,220000,0,0,206879,4,4,109100,3,1,0,1
4070,0,1,52,20000,0,0,18603,4,4,101555,3,1,1,0
4071,1,2,26,100000,0,2,1872,3,3,104503,-1,2,2,0
4072,1,2,34,50000,0,0,20613,4,4,110000,3,1,0,0
4073,1,0,29,160000,0,0,163982,4,4,106150,3,1,0,0
4074,1,2,27,50000,0,0,14614,4,4,101558,3,1,0,0
4075,0,2,40,50000,1,4,0,2,2,101470,1,3,3,0
4076,1,1,50,250000,1,0,254893,4,4,109316,3,1,1,0
4077,1,2,49,360000,0,4,0,5,2,100000,1,3,3,0
4078,0,2,35,500000,0,0,12590,4,4,101225,3,1,0,0
4079,0,1,55,30000,0,4,-330,2,2,100500,2,2,3,0
4080,0,2,43,250000,1,2,1041,3,6,106854,2,2,2,0
4081,0,2,31,230000,1,2,623,3,2,100000,2,2,2,0
4082,0,2,33,160000,1,2,7429,3,3,108000,2,1,0,0
4083,1,2,38,350000,1,4,0,5,2,100000,1,3,3,0
4084,1,0,29,60000,0,1,35932,-1,6,100000,5,0,1,1
4085,0,1,37,50000,1,0,38527,6,4,102000,3,1,0,1
4086,0,2,31,200000,0,1,450,3,6,100000,1,3,3,0
4087,0,0,49,310000,1,4,13465,2,2,107875,1,3,3,0
4088,1,0,49,50000,1,0,48481,4,4,102313,-1,1,2,1
4089,1,0,46,360000,1,4,5800,5,2,100000,1,3,3,0
4090,0,2,32,60000,0,1,17992,5,4,100000,3,1,1,1
4091,1,0,47,10000,0,0,8640,6,4,101145,3,1,0,1
4092,0,1,50,70000,1,4,27345,2,3,101041,3,1,0,0
4093,0,0,64,60000,2,0,24541,6,4,102000,3,1,0,1
4094,1,0,30,70000,0,1,65802,5,6,103200,3,1,1,1
4095,0,0,29,450000,0,0,371724,4,4,110000,3,1,0,0
4096,1,0,28,320000,0,2,5799,4,3,170891,-1,1,0,0
4097,1,2,38,20000,0,0,15255,4,4,105006,3,1,0,1
4098,0,0,45,360000,0,2,0,2,6,102500,-1,3,3,0
4099,0,2,32,360000,1,2,2500,3,2,100000,1,3,3,0
4100,0,0,30,220000,0,0,152514,4,4,107149,3,1,1,0
4101,0,0,30,200000,1,4,26223,5,3,100000,3,1,0,0
4102,0,2,26,50000,0,0,48150,4,4,101797,3,1,0,0
4103,1,2,31,60000,0,1,60705,6,6,103200,5,0,1,1
4104,0,0,43,50000,0,0,26342,3,4,101547,3,1,0,0
4105,0,1,31,70000,1,0,9633,4,4,102000,5,0,0,0
4107,1,0,30,610000,1,0,50724,4,4,102134,3,1,0,0
4108,1,0,32,220000,1,2,8000,4,3,108288,2,2,2,0
4109,1,0,24,20000,0,0,16794,6,4,101288,3,1,0,0
4110,1,1,51,50000,1,0,47877,-1,4,102516,3,1,0,0
4111,0,2,31,100000,0,4,0,5,3,100000,2,1,0,0
4112,0,0,26,30000,1,0,29072,4,4,101600,3,1,1,0
4113,1,0,30,60000,0,0,39264,4,4,103000,3,1,0,0
4114,0,0,43,80000,0,0,72987,4,4,102561,3,1,0,0
4115,1,0,31,230000,0,0,100074,4,4,109000,3,1,0,0
4116,0,0,36,340000,1,0,167474,4,4,107106,3,1,0,0
4117,1,2,29,310000,0,0,45153,6,4,102904,3,1,0,1
4118,0,2,27,210000,0,2,4426,3,3,100000,-1,2,3,0
4119,1,0,65,360000,1,4,0,5,2,100000,1,3,3,1
4120,0,0,25,30000,0,0,28494,4,4,101750,3,1,0,1
4121,0,0,48,500000,0,0,185627,4,4,108000,3,1,0,0
4122,0,0,22,70000,0,0,31377,4,6,106000,3,1,0,0
4123,0,0,39,180000,1,4,0,2,2,100000,1,3,3,1
4124,0,2,34,240000,0,0,14038,4,4,112000,3,1,0,0
4125,0,1,57,460000,1,4,7516,2,2,123524,1,3,3,0
4126,1,0,26,20000,0,2,1438,3,3,101261,2,3,2,0
4127,0,0,34,170000,1,0,166851,4,4,105000,3,1,0,0
4128,0,0,38,160000,1,0,73902,4,4,150000,2,2,2,0
4129,0,2,41,240000,1,0,10839,3,4,110000,3,1,0,0
4130,1,2,40,200000,0,0,66052,4,4,103800,3,1,0,0
4131,1,2,41,150000,0,2,1464,3,3,102091,2,2,1,1
4132,0,0,49,30000,0,1,17667,6,6,101500,-1,0,1,1
4133,1,2,25,20000,0,0,26694,4,4,101200,3,1,0,0
4134,0,2,36,70000,0,0,75021,4,4,102893,3,1,0,0
4135,1,1,58,50000,0,0,7831,6,4,101123,-1,1,0,0
4136,1,2,29,50000,0,0,20258,3,4,103000,5,1,0,0
4137,0,0,35,230000,0,2,30300,3,6,101689,2,2,2,0
